File Path,Error Message,Error Type,Line Number,Code Context
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/google-pay-monthly-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p>A report which provides detailed information about cards that were tokenised to a Google Pay wallet within a given month. Client&#8217;s can use the data from this report to fulfil their Google Pay reporting requirements.</p>
<p>The report includes the following details:</p>
<ul>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/inactive-cards-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p data-pm-slice=""1 3 []"">This report provides client&#8217;s with a list of inactive cards across their campaign. This allows client&#8217;s to better manage their campaign&#8217;s and internal reporting requirements.</p>
<p>The report includes the following details:</p>
<ul>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/index.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api""
---
<div class=""block translation current highlight"" data-element=""para"" data-attr-xinfo-text=""10735"">
<p><span style=""font-weight: 400;""><strong>Paymentology provides end-to-end reporting and reconciliation capabilities to allow you to track all your cards’ financial movements, revenues collected, failed transactions and more</strong>.</span></p>
</div>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/linked-cards-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p>This report lists the cards that have been linked to a customer and when this occurred.</p>
<p>The report includes the following details:</p>
<ul>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/mark-off-file.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<div class=""block translation current highlight"" data-element=""para"" data-attr-xinfo-text=""10745"">
<p><span style=""font-weight: 400;"">This file contains a record of all successful transactions that Paymentology processes on behalf of a store of value like a wallet or a bank account. It includes the financial transactions between a store of value and Paymentology. </span><span style=""font-weight: 400;"">Paymentology generates the Mark-off file daily at midnight in your local time zone. The file matches a report from a store of value for all successfully processed transactions. </span></p>
<p>Ideally, the Mark-off file report and the store of value report should be in sync each day as the systems mirror one another. In case of any discrepancy, you should log a ticket via your Zendesk Portal. Select the *<strong data-renderer-mark=""true"">Report a Service Incident</strong>* form, and then choose *<strong data-renderer-mark=""true"">Reporting</strong>* and *<strong data-renderer-mark=""true"">Discrepancy</strong>* under the Request Type, indicate the file’s date and the transaction in question. We’ll promptly address the issue.</p>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/qmr-data-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p>Paymentology&#8217;s QMR (Quarterly Mastercard Report) data report contains transaction data and card/account data for the given quarter. The report can be provided to clients using Mastercard, to assist clients with their Mastercard quarterly reporting requirements.</p>
<p>The report includes the following:</p>
<h3>Cardholder activity</h3>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/qvr-data-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p>The QVR data report can be provided to clients using Visa. It contains data to assist clients with their Visa quarterly reporting requirements. The report includes the following:</p>
<h3>Category definitions</h3>
<ul>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/summary-settlement-report-2.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<div class=""block translation current highlight"" data-element=""para"" data-attr-xinfo-text=""10752""><span style=""font-weight: 400;"">This gives a daily summary of all the transactions settled by the card association. Paymentology gathers the information from the card association file and packages it into a summary report. </span><span style=""font-weight: 400;"">It is a report where you can find a summary of transaction types, the number of transactions that have been settled for the day, fees and interchanges earned. </span></p>
<p><span style=""font-weight: 400;"">The Summary Settlement Report includes a separate tab for each currency you decide to settle in.</span></p>
<p><b>Note:</b><span style=""font-weight: 400;""> If the client chooses to settle in one currency, then both domestic and international settlements will fall under one tab. </span></p>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/vau-transaction-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p>The purpose of this report is to send to the client the transactions that are still being made to a certain card that was already sent to VISA via the VAU file.</p>
<p data-renderer-start-pos=""241"">So for example if a card was sent to VISA in a VAU file on the date <span class=""date-lozenger-container""><span class=""date-node"" data-node-type=""date"" data-timestamp=""1694995200000"">Sep 18, 2023</span></span> and transactions are still happening after the file was generated the card will be on the report.</p>
<p>The VAU Transaction Report has the following fields:</p>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/secure-cards/index.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api""
---
<p><strong>The Sprint Card API allows you to access a wide range of features to ensure the security of card transactions.</strong></p>
<p>Here are the main features to use to ensure the security of your cards:</p>
<ul>"
