source_url,top_bar,subsection,title,destination_path
https://developer.sprint.paymentology.com/chargeback-api/chargeback-api-reference/first-chargeback/,API Reference,Chargeback API,First Chargeback,API Reference/chargeback-api/first-chargeback.md
https://developer.sprint.paymentology.com/chargeback-api/chargeback-api-reference/pre-arbitration/,API Reference,Chargeback API,Pre-Arbitration,API Reference/chargeback-api/pre-arbitration.md
https://developer.sprint.paymentology.com/chargeback-api/chargeback-api-reference/query-chargeback/,API Reference,Chargeback API,Query Chargeback,API Reference/chargeback-api/query-chargeback.md
https://developer.sprint.paymentology.com/chargeback-api/chargeback-api-reference/second-presentment-documents/,API Reference,Chargeback API,Second Presentment Documents,API Reference/chargeback-api/second-presentment-documents.md
https://developer.sprint.paymentology.com/chargeback-api/chargeback-api-reference/upload-supporting-document/,API Reference,Chargeback API,Upload Supporting Document,API Reference/chargeback-api/upload-supporting-document.md
https://developer.sprint.paymentology.com/chargeback-api/chargeback-reason-codes/,API Reference,Chargeback API,Chargeback reason codes,API Reference/chargeback-api/chargeback-reason-codes.md
https://developer.sprint.paymentology.com/chargeback-api/connectivity/,API Reference,Chargeback API,Connectivity,API Reference/chargeback-api/connectivity.md
https://developer.sprint.paymentology.com/chargeback-api/process-overview/,API Reference,Chargeback API,Process overview,API Reference/chargeback-api/process-overview.md
https://developer.sprint.paymentology.com/chargeback-api/remote-messaging-api/,API Reference,Chargeback API,Remote Messaging API,API Reference/chargeback-api/remote-messaging-api.md
https://developer.sprint.paymentology.com/chargeback-api/remote-messaging-api/remote-messaging-api-chargeback-notification/,API Reference,Chargeback API,Remote Messaging API: chargeback notification,API Reference/chargeback-api/remote-messaging-api-chargeback-notification.md
https://developer.sprint.paymentology.com/chargeback-api/response-codes/,API Reference,Chargeback API,Response codes,API Reference/chargeback-api/response-codes.md
https://developer.sprint.paymentology.com/companion-api/,Guides,Shared,Companion API,Guides/companion-api.md
https://developer.sprint.paymentology.com/companion-api/api-reference/,API Reference,Companion API,API REFERENCE,API Reference/companion-api/api-reference.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/,API Reference,Companion API,Local API,API Reference/companion-api/local-api.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/activatecard/,API Reference,Companion API,ActivateCard,API Reference/companion-api/activatecard.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/activatetoken/,API Reference,Companion API,ActivateToken,API Reference/companion-api/activatetoken.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/calculatetav/,API Reference,Companion API,CalculateTAV,API Reference/companion-api/calculatetav.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/changepin/,API Reference,Companion API,ChangePin,API Reference/companion-api/changepin.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/createlinkedcard/,API Reference,Companion API,CreateLinkedCard,API Reference/companion-api/createlinkedcard.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/createlinkedcardmaskedresponse/,API Reference,Companion API,CreateLinkedCardMaskedResponse,API Reference/companion-api/createlinkedcardmaskedresponse.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/deletetoken/,API Reference,Companion API,DeleteToken,API Reference/companion-api/deletetoken.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/generatetimebasedsecret/,API Reference,Companion API,GenerateTimeBasedSecret,API Reference/companion-api/generatetimebasedsecret.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/getactivelinkedcards/,API Reference,Companion API,GetActiveLinkedCards,API Reference/companion-api/getactivelinkedcards.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/getcarddetails/,API Reference,Companion API,GetCardDetails,API Reference/companion-api/getcarddetails.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/getlinkedcards/,API Reference,Companion API,GetLinkedCards,API Reference/companion-api/getlinkedcards.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/linkcard/,API Reference,Companion API,LinkCard,API Reference/companion-api/linkcard.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/listalltokens/,API Reference,Companion API,ListAllTokens,API Reference/companion-api/listalltokens.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/listtokens/,API Reference,Companion API,ListTokens,API Reference/companion-api/listtokens.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/ordercard/,API Reference,Companion API,OrderCard,API Reference/companion-api/ordercard.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/ordercardwithpinblock/,API Reference,Companion API,OrderCardWithPinBlock,API Reference/companion-api/ordercardwithpinblock.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/printlinkedcard/,API Reference,Companion API,PrintLinkedCard,API Reference/companion-api/printlinkedcard.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/printlinkedcardwithpinblock/,API Reference,Companion API,PrintLinkedCardWithPINBlock,API Reference/companion-api/printlinkedcardwithpinblock.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/resetpin/,API Reference,Companion API,ResetPin,API Reference/companion-api/resetpin.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/retirecard/,API Reference,Companion API,RetireCard,API Reference/companion-api/retirecard.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/set3dsecurecode/,API Reference,Companion API,Set3dSecureCode,API Reference/companion-api/set3dsecurecode.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/status/,API Reference,Companion API,Status,API Reference/companion-api/status.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/stopcard/,API Reference,Companion API,StopCard,API Reference/companion-api/stopcard.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/stoptoken/,API Reference,Companion API,StopToken,API Reference/companion-api/stoptoken.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/threedsauthenticationoutcome/,API Reference,Companion API,ThreeDSAuthenticationOutcome,API Reference/companion-api/threedsauthenticationoutcome.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/togglevoucherfeature/,API Reference,Companion API,ToggleVoucherFeature,API Reference/companion-api/togglevoucherfeature.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/tokenapprovedevicebinding/,API Reference,Companion API,TokenApproveDeviceBinding,API Reference/companion-api/tokenapprovedevicebinding.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/tokenremovedevicebinding/,API Reference,Companion API,TokenRemoveDeviceBinding,API Reference/companion-api/tokenremovedevicebinding.md
https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/transferlink/,API Reference,Companion API,TransferLink,API Reference/companion-api/transferlink.md
