source_page,original_url,rewritten_url,status
https://developer.sprint.paymentology.com/card-api/api-reference/loadfunds/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/loadfundsreverse/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/mostrecenttransactions/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/ordercard/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/ordercardwithpinblock/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/pockettransfer/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/pockettransferreverse/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/remotemessaging/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/remotemessaging/,https://developer.sprint.paymentology.com/card-api/api-reference/threedsauthenticationoutcome/,/api-reference/card-api/threedsauthenticationoutcome,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/retirecard/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/set3dsecurecode/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/setbearerdetail/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/statement/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/stopcard/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/togglevoucherfeature/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/tokenapprovedevicebinding-2/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/tokenapprovedevicebinding/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/tokenremovedevicebinding/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/transferfunds/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/transferfundsreverse/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/transferlink/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/transfertoken-2/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/unstopcard/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/unstoptoken/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/updatecardexpirydate/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/updatecardlabel/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/updatecvv/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/updatetokenaccount/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/disputes/,https://developer.sprint.paymentology.com/companion-api/manage-funds/3d-secure/,/guides/3d-secure,rewritten
https://developer.sprint.paymentology.com/card-api/reconciliation/,https://developer.sprint.paymentology.com/card-api/reports/detailed-settlement-report/,/reports/card-api/detailed-settlement-report,rewritten
https://developer.sprint.paymentology.com/card-api/reconciliation/,https://developer.sprint.paymentology.com/card-api/reports/forex-gains-report-2/,/reports/card-api/forex-gains-report-2,rewritten
https://developer.sprint.paymentology.com/card-api/reconciliation/,https://developer.sprint.paymentology.com/card-api/reports/mark-off-file/,/reports/card-api/mark-off-file,rewritten
https://developer.sprint.paymentology.com/card-api/reconciliation/,https://developer.sprint.paymentology.com/card-api/reports/summary-settlement-report-2/,/reports/card-api/summary-settlement-report-2,rewritten
https://developer.sprint.paymentology.com/card-api/reconciliation/,https://developer.sprint.paymentology.com/companion-api/disputes/,/guides/disputes,rewritten
https://developer.sprint.paymentology.com/card-api/reconciliation/,https://developer.sprint.paymentology.com/get-started/fraud/,/guides/fraud,rewritten
https://developer.sprint.paymentology.com/card-api/reports/,https://developer.sprint.paymentology.com/card-api/reports/apple-pay-monthly-declines-report/,/reports/card-api/apple-pay-monthly-declines-report,rewritten
https://developer.sprint.paymentology.com/card-api/reports/,https://developer.sprint.paymentology.com/card-api/reports/apple-pay-monthly-fee-billing-report/,/reports/card-api/apple-pay-monthly-fee-billing-report,rewritten
https://developer.sprint.paymentology.com/card-api/reports/,https://developer.sprint.paymentology.com/card-api/reports/apple-pay-monthly-metric-report/,/reports/card-api/apple-pay-monthly-metric-report,rewritten
https://developer.sprint.paymentology.com/card-api/reports/,https://developer.sprint.paymentology.com/card-api/reports/apple-pay-monthly-top-merchant-report/,/reports/card-api/apple-pay-monthly-top-merchant-report,rewritten
https://developer.sprint.paymentology.com/card-api/reports/,https://developer.sprint.paymentology.com/card-api/reports/apple-pay-monthly-usage-frequency-report/,/reports/card-api/apple-pay-monthly-usage-frequency-report,rewritten
https://developer.sprint.paymentology.com/card-api/reports/,https://developer.sprint.paymentology.com/card-api/reports/apple-pay-quarterly-fee-billing-report/,/reports/card-api/apple-pay-quarterly-fee-billing-report,rewritten
https://developer.sprint.paymentology.com/card-api/reports/,https://developer.sprint.paymentology.com/card-api/reports/authorisation-income-report/,/reports/card-api/authorisation-income-report,rewritten
https://developer.sprint.paymentology.com/card-api/reports/,https://developer.sprint.paymentology.com/card-api/reports/blocked-transactions-report/,/reports/card-api/blocked-transactions-report,rewritten
https://developer.sprint.paymentology.com/card-api/reports/,https://developer.sprint.paymentology.com/card-api/reports/card-balance-report/,/reports/card-api/card-balance-report,rewritten
https://developer.sprint.paymentology.com/card-api/reports/,https://developer.sprint.paymentology.com/card-api/reports/daily-negative-balance-report/,/reports/card-api/daily-negative-balance-report,rewritten
https://developer.sprint.paymentology.com/card-api/reports/,https://developer.sprint.paymentology.com/card-api/reports/daily-sales-and-redemption-report/,/reports/card-api/daily-sales-and-redemption-report,rewritten
