wp_id,wp_title,wp_url,wp_slug,wp_status,matched_path,match_kind,match_confidence,migration_status,review_risk,notes
4759,Statement,https://developer.sprint.paymentology.com/profile-api-reference/statement/,statement,publish,docs/card-api/api-reference-card/statement.md,url_leaf,0.85,matched,,
3306,StatementByDateRange,https://developer.sprint.paymentology.com/profile-api-reference/statementbydaterange/,statementbydaterange,publish,docs/profile-api-reference/statementbydaterange.md,url_path,1.0,matched,high,
4767,Status,https://developer.sprint.paymentology.com/profile-api-reference/status/,status,publish,docs/companion-api/api-reference-companion/local-api/status.md,url_leaf,0.85,matched,,
3308,StopCard,https://developer.sprint.paymentology.com/profile-api-reference/stopcard/,stopcard,publish,docs/card-api/api-reference-card/stopcard.md,url_leaf,0.85,matched,,
3594,StopToken,https://developer.sprint.paymentology.com/profile-api-reference/stoptoken/,stoptoken,publish,docs/card-api/api-reference-card/stoptoken.md,url_leaf,0.85,matched,,
4370,ThreeDSAuthenticationOutcome,https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/threedsauthenticationoutcome/,threedsauthenticationoutcome,publish,docs/card-api/api-reference-card/threedsauthenticationoutcome.md,url_leaf,0.85,matched,,
4377,ThreeDSAuthenticationOutcome,https://developer.sprint.paymentology.com/card-api/api-reference/threedsauthenticationoutcome/,threedsauthenticationoutcome,publish,docs/card-api/api-reference-card/threedsauthenticationoutcome.md,url_leaf,0.85,matched,,
3560,ToggleVoucherFeature,https://developer.sprint.paymentology.com/card-api/api-reference/togglevoucherfeature/,togglevoucherfeature,publish,docs/card-api/api-reference-card/togglevoucherfeature.md,url_leaf,0.85,matched,,
5233,ToggleVoucherFeature,https://developer.sprint.paymentology.com/profile-api-reference/togglevoucherfeature/,togglevoucherfeature,publish,docs/card-api/api-reference-card/togglevoucherfeature.md,url_leaf,0.85,matched,,
3510,TokenApproveDeviceBinding,https://developer.sprint.paymentology.com/card-api/api-reference/tokenapprovedevicebinding/,tokenapprovedevicebinding,publish,docs/card-api/api-reference-card/tokenapprovedevicebinding.md,url_leaf,0.85,matched,,
3518,TokenApproveDeviceBinding,https://developer.sprint.paymentology.com/card-api/api-reference/tokenapprovedevicebinding-2/,tokenapprovedevicebinding-2,publish,docs/card-api/api-reference-card/tokenapprovedevicebinding-2.md,url_leaf,0.85,matched,,
3522,TokenApproveDeviceBinding,https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/tokenapprovedevicebinding/,tokenapprovedevicebinding,publish,docs/card-api/api-reference-card/tokenapprovedevicebinding.md,url_leaf,0.85,matched,,
3506,TokenRemoveDeviceBinding,https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/tokenremovedevicebinding/,tokenremovedevicebinding,publish,docs/card-api/api-reference-card/tokenremovedevicebinding.md,url_leaf,0.85,matched,,
3515,TokenRemoveDeviceBinding,https://developer.sprint.paymentology.com/card-api/api-reference/tokenremovedevicebinding/,tokenremovedevicebinding,publish,docs/card-api/api-reference-card/tokenremovedevicebinding.md,url_leaf,0.85,matched,,
72,Tools,https://developer.sprint.paymentology.com/tools/,tools,publish,docs/tools/index.md,url_path,1.0,matched,,
1610,Transaction Stream,https://developer.sprint.paymentology.com/tutuka-transaction-stream-2/,tutuka-transaction-stream-2,publish,docs/documentation/tutuka-transaction-stream-2.md,url_leaf,0.85,matched,,
3040,TransferFunds,https://developer.sprint.paymentology.com/profile-api-reference/transferfunds/,transferfunds,publish,docs/card-api/api-reference-card/transferfunds.md,url_leaf,0.85,matched,,
3042,TransferFundsBetweenProfiles,https://developer.sprint.paymentology.com/profile-api-reference/transferfundsbetweenprofiles/,transferfundsbetweenprofiles,publish,docs/profile-api-reference/transferfundsbetweenprofiles.md,url_path,1.0,matched,high,
3198,TransferLink,https://developer.sprint.paymentology.com/card-api/api-reference/transferlink/,transferlink,publish,docs/card-api/api-reference-card/transferlink.md,url_leaf,0.85,matched,,
4857,TransferLink,https://developer.sprint.paymentology.com/profile-api-reference/transferlink/,transferlink,publish,docs/card-api/api-reference-card/transferlink.md,url_leaf,0.85,matched,,
3597,TransferToken,https://developer.sprint.paymentology.com/profile-api-reference/transfertoken/,transfertoken,publish,docs/companion-api/api-reference-companion/local-api/transfertoken.md,url_leaf,0.85,matched,,
3601,UnStopToken,https://developer.sprint.paymentology.com/profile-api-reference/unstoptoken/,unstoptoken,publish,docs/card-api/api-reference-card/unstoptoken.md,url_leaf,0.85,matched,,
4778,UpdateAllocatedCard,https://developer.sprint.paymentology.com/profile-api-reference/updateallocatedcard/,updateallocatedcard,publish,docs/profile-api-reference/updateallocatedcard.md,url_path,1.0,matched,high,
4799,UpdateBearer,https://developer.sprint.paymentology.com/profile-api-reference/updatebearer/,updatebearer,publish,docs/companion-api/api-reference-companion/local-api/updatebearer.md,url_leaf,0.85,matched,,
4662,UpdateBearerExtended,https://developer.sprint.paymentology.com/profile-api-reference/updatebearerextended/,updatebearerextended,publish,docs/profile-api-reference/updatebearerextended.md,url_path,1.0,matched,high,
3606,UpdateProfile,https://developer.sprint.paymentology.com/updateprofile/,updateprofile,publish,docs/profile-api-reference/updateprofile.md,url_leaf,0.85,matched,high,
4773,UpdateProfile,https://developer.sprint.paymentology.com/profile-api-reference/updateprofile/,updateprofile,publish,docs/profile-api-reference/updateprofile.md,url_path,1.0,matched,high,
4787,UpdateScheduledStop,https://developer.sprint.paymentology.com/profile-api-reference/updatescheduledstop/,updatescheduledstop,publish,docs/profile-api-reference/updatescheduledstop.md,url_path,1.0,matched,high,
3599,UpdateTokenAccount,https://developer.sprint.paymentology.com/profile-api-reference/updatetokenaccount/,updatetokenaccount,publish,docs/card-api/api-reference-card/updatetokenaccount.md,url_leaf,0.85,matched,,
